Length	Frequency
1:	 0.03745654368061007
2:	 0.14887293932937087
3:	 0.2168330155882023
4:	 0.21582370752495234
5:	 0.15307838959291242
6:	 0.09734215543344174
7:	 0.06347426264438713
8:	 0.034877200852304585
9:	 0.016765728383985646
10:	 0.008298755186721992
11:	 0.003981159582819334
12:	 0.0015700347650555119
13:	 5.046540316249859E-4
14:	 5.6072670180554E-5
15:	 5.6072670180554E-5
16:	 0.0
17:	 0.0
18:	 0.0
19:	 0.0
20:	 0.0
